bigram,bnc_s.prob
aa,3.88E-06
ab,0.00255184
ac,0.003426847
ad,0.001893689
ae,6.42E-05
af,0.000699496
ag,0.001724697
ah,0.00349468
ai,0.002476931
aj,7.25E-05
ak,0.001973779
al,0.008945182
am,0.001632976
an,0.021904295
ao,1.55E-05
ap,0.001265831
aq,8.63E-06
ar,0.007209314
as,0.004668872
at,0.009649012
au,0.001364999
av,0.008377836
aw,0.000520064
ax,0.000115432
ay,0.006332925
az,6.42E-05
ba,0.001918499
bb,7.75E-05
bc,9.07E-07
bd,2.14E-06
be,0.025339819
bf,1.89E-07
bg,1.53E-07
bh,1.47E-06
bi,0.001288099
bj,9.17E-05
bk,3.91E-10
bl,0.001988626
bm,1.55E-05
bn,1.58E-06
bo,0.002972679
bp,3.87E-08
bq,3.91E-10
br,0.000875438
bs,0.000123573
bt,6.05E-05
bu,0.00337309
bv,0.000132382
bw,7.66E-08
bx,0
by,0.000840309
bz,0
ca,0.005089003
cb,3.12E-09
cc,0.000385352
cd,1.85E-06
ce,0.003889004
cf,3.75E-08
cg,1.24E-06
ch,0.004630543
ci,0.001321891
cj,7.81E-10
ck,0.002058561
cl,0.000961537
cm,7.42E-09
cn,2.97E-06
co,0.00721554
cp,3.91E-09
cq,8.97E-06
cr,0.000816079
cs,2.92E-05
ct,0.002738709
cu,0.000999378
cv,1.95E-09
cw,3.95E-08
cx,3.91E-10
cy,0.000271912
cz,1.65E-06
da,0.00195446
db,2.17E-05
dc,9.85E-06
dd,0.000335302
de,0.0036696
df,2.19E-05
dg,0.000189226
dh,8.87E-06
di,0.001905761
dj,1.48E-05
dk,2.25E-06
dl,0.000225894
dm,9.46E-05
dn,7.24E-05
do,0.00790995
dp,6.05E-06
dq,4.92E-06
dr,0.001048345
ds,0.000226116
dt,6.09E-06
du,0.000664522
dv,0.000140641
dw,4.47E-05
dx,7.81E-10
dy,0.001001856
dz,7.81E-10
ea,0.010387449
eb,0.000266238
ec,0.003110654
ed,0.002894217
ee,0.00534774
ef,0.001041631
eg,0.000606694
eh,0.000230911
ei,0.000784503
ej,1.81E-05
ek,0.000419189
el,0.006306498
em,0.001989089
en,0.010925798
eo,0.001032026
ep,0.001099482
eq,0.000198467
er,0.022335652
es,0.00518825
et,0.007074069
eu,0.000117012
ev,0.002574999
ew,0.000847886
ex,0.001319484
ey,0.005928732
ez,2.79E-05
fa,0.001257734
fb,4.69E-09
fc,2.03E-06
fd,5.67E-07
fe,0.001538748
ff,0.001653392
fg,7.15E-07
fh,1.20E-06
fi,0.003056671
fj,3.75E-08
fk,7.70E-08
fl,0.000362228
fm,2.66E-07
fn,4.90E-07
fo,0.004639372
fp,7.96E-07
fq,3.91E-10
fr,0.001511194
fs,7.74E-06
ft,0.000874743
fu,0.000826688
fv,0
fw,3.00E-06
fx,0
fy,7.63E-05
fz,0
ga,0.000634763
gb,8.79E-06
gc,3.43E-07
gd,1.46E-05
ge,0.005862106
gf,2.82E-06
gg,0.000185733
gh,0.00407613
gi,0.001129078
gj,7.81E-10
gk,2.63E-07
gl,0.000308703
gm,1.09E-05
gn,0.000250726
go,0.004616441
gp,1.05E-06
gq,0
gr,0.001212593
gs,3.98E-05
gt,4.36E-05
gu,0.000504175
gv,0
gw,7.95E-07
gx,0
gy,9.54E-05
gz,3.91E-10
ha,0.022458982
hb,2.58E-05
hc,4.85E-06
hd,4.15E-05
he,0.037612272
hf,5.22E-06
hg,2.29E-07
hh,2.89E-06
hi,0.008850394
hj,7.81E-10
hk,3.52E-09
hl,5.80E-05
hm,5.36E-05
hn,0.000161441
ho,0.005719161
hp,8.35E-07
hq,7.81E-10
hr,0.001299571
hs,4.48E-06
ht,0.003076264
hu,0.000805287
hv,2.73E-09
hw,1.22E-05
hx,0
hy,0.000540107
hz,7.81E-10
ia,0.000880744
ib,0.000439288
ic,0.004224097
id,0.001693091
ie,0.00128206
if,0.002720356
ig,0.003966952
ih,2.59E-06
ii,1.70E-06
ij,5.66E-07
ik,0.001600346
il,0.004932533
im,0.001900834
in,0.018760725
io,0.003384543
ip,0.000373267
iq,2.50E-05
ir,0.002141675
is,0.00497438
it,0.016290288
iu,5.26E-05
iv,0.002244944
iw,3.03E-07
ix,0.000587433
iy,1.17E-07
iz,0.000253317
ja,0.000164188
jb,0
jc,0
jd,0
je,0.000276674
jf,1.17E-09
jg,7.81E-10
jh,0
ji,3.79E-05
jj,3.91E-10
jk,3.91E-10
jl,1.17E-09
jm,0
jn,7.81E-10
jo,0.000623122
jp,0
jq,0
jr,1.17E-09
js,0
jt,3.91E-10
ju,0.001730012
jv,3.91E-10
jw,3.91E-10
jx,0
jy,3.91E-10
jz,3.91E-10
ka,0.000476998
kb,3.43E-07
kc,2.26E-06
kd,4.77E-06
ke,0.004240016
kf,2.14E-05
kg,1.57E-05
kh,2.86E-06
ki,0.000647773
kj,3.91E-10
kk,3.40E-07
kl,8.92E-05
km,4.29E-06
kn,0.002445875
ko,4.88E-05
kp,1.00E-05
kq,0
kr,2.52E-06
ks,0.000133596
kt,4.44E-06
ku,1.44E-05
kv,1.17E-09
kw,2.20E-05
kx,0
ky,7.41E-05
kz,0
la,0.003236189
lb,3.17E-05
lc,4.77E-05
ld,0.003971975
le,0.006303718
lf,0.000556332
lg,1.52E-05
lh,1.17E-06
li,0.004815153
lj,1.14E-07
lk,0.000512959
ll,0.011333784
lm,0.000112904
ln,2.29E-05
lo,0.004160676
lp,0.000191801
lq,7.81E-10
lr,0.000404242
ls,0.000478306
lt,0.000601407
lu,0.000688892
lv,0.000308157
lw,0.000251336
lx,3.91E-10
ly,0.004910813
lz,5.29E-07
ma,0.004028603
mb,0.000800271
mc,2.65E-06
md,4.19E-07
me,0.008326614
mf,2.08E-05
mg,3.12E-09
mh,6.80E-07
mi,0.002186377
mj,7.81E-10
mk,4.26E-08
ml,8.71E-06
mm,0.000622966
mn,3.84E-05
mo,0.002750135
mp,0.001230242
mq,0
mr,0.000284693
ms,0.000127142
mt,1.92E-06
