bigram,bnc_w.prob
aa,6.24E-06
ab,0.00247224
ac,0.004458501
ad,0.00266972
ae,0.000101056
af,0.000953626
ag,0.002335258
ah,9.33E-05
ai,0.003448199
aj,0.000143222
ak,0.001884878
al,0.010925414
am,0.002506357
an,0.021410847
ao,2.54E-05
ap,0.001859286
aq,2.59E-05
ar,0.01047651
as,0.006448983
at,0.011613739
au,0.001250036
av,0.005101531
aw,0.00066907
ax,0.000191677
ay,0.003550427
az,0.000125906
ba,0.001751093
bb,9.15E-05
bc,2.38E-05
bd,1.05E-05
be,0.016468454
bf,4.11E-07
bg,5.91E-07
bh,2.45E-06
bi,0.001028091
bj,0.000205613
bk,4.04E-08
bl,0.002524092
bm,3.83E-05
bn,7.37E-06
bo,0.002141984
bp,4.53E-06
bq,3.67E-09
br,0.001340058
bs,0.00019168
bt,0.000162051
bu,0.00242305
bv,6.08E-05
bw,3.27E-07
bx,0
by,0.001958491
bz,0
ca,0.004913205
cb,3.53E-07
cc,0.000857555
cd,1.43E-05
ce,0.00667502
cf,1.80E-06
cg,4.22E-06
ch,0.006539427
ci,0.002515787
cj,1.73E-07
ck,0.001637573
cl,0.001730581
cm,9.13E-06
cn,4.30E-06
co,0.008732713
cp,1.18E-06
cq,5.00E-05
cr,0.00154177
cs,8.51E-05
ct,0.004378838
cu,0.001642249
cv,1.84E-07
cw,2.24E-07
cx,1.10E-08
cy,0.00044764
cz,9.39E-06
da,0.001704629
db,2.93E-05
dc,3.18E-05
dd,0.000446431
de,0.006993132
df,3.72E-05
dg,0.000322685
dh,3.23E-05
di,0.003450969
dj,3.53E-05
dk,3.81E-06
dl,0.000398638
dm,0.000155796
dn,7.07E-05
do,0.002763239
dp,8.49E-06
dq,9.51E-06
dr,0.00087105
ds,0.000389767
dt,1.26E-05
du,0.001462673
dv,0.000228299
dw,8.26E-05
dx,8.08E-08
dy,0.000666929
dz,1.47E-08
ea,0.007974602
eb,0.000241277
ec,0.004844077
ed,0.003462309
ee,0.004198266
ef,0.001661663
eg,0.001156165
eh,0.000270609
ei,0.000712727
ej,4.17E-05
ek,0.000285015
el,0.005463888
em,0.003131961
en,0.013636716
eo,0.000764536
ep,0.001707888
eq,0.000501575
er,0.018896816
es,0.006368821
et,0.004419167
eu,0.000268291
ev,0.002849594
ew,0.001221506
ex,0.002220857
ey,0.003260802
ez,3.53E-05
fa,0.001897805
fb,1.63E-06
fc,6.71E-06
fd,3.03E-06
fe,0.002369005
ff,0.001776402
fg,4.32E-06
fh,2.08E-06
fi,0.003212869
fj,4.04E-08
fk,3.64E-07
fl,0.000665195
fm,2.34E-06
fn,1.77E-06
fo,0.005488661
fp,3.93E-06
fq,4.41E-08
