bigram,subtlex_uk.prob
aa,4.87E-05
ab,0.002448519
ac,0.003634285
ad,0.003313953
ae,0.000139267
af,0.000787161
ag,0.001775229
ah,0.000941398
ai,0.003222418
aj,7.58E-05
ak,0.002018361
al,0.009187434
am,0.003192111
an,0.019245404
ao,5.51E-05
ap,0.001402663
aq,2.01E-05
ar,0.010622877
as,0.008578274
at,0.009604781
au,0.001494812
av,0.003828326
aw,0.000703947
ax,0.000163352
ay,0.004027535
az,0.000207192
ba,0.002378724
bb,0.000160292
bc,5.98E-05
bd,8.48E-06
be,0.00698574
bf,8.52E-07
bg,1.81E-06
bh,5.98E-06
bi,0.001665107
bj,4.90E-05
bk,1.25E-07
bl,0.001972497
bm,9.93E-06
bn,5.00E-06
bo,0.002879328
bp,5.54E-06
bq,4.61E-07
br,0.001433107
bs,0.000350989
bt,7.16E-05
bu,0.003038609
bv,8.99E-05
bw,4.72E-06
bx,8.34E-09
by,0.000913476
bz,1.30E-06
ca,0.005256707
cb,7.57E-06
cc,0.00036439
cd,1.15E-05
ce,0.004321061
cf,1.92E-06
cg,9.00E-06
ch,0.005065764
ci,0.001498901
cj,7.73E-06
ck,0.002525401
cl,0.001179197
cm,3.04E-06
cn,7.38E-06
co,0.006693961
cp,2.92E-06
cq,1.25E-05
cr,0.001301761
cs,0.000130494
ct,0.002536194
cu,0.001057251
cv,2.08E-06
cw,1.18E-06
cx,2.87E-08
cy,0.000251721
cz,3.33E-06
da,0.002196344
db,4.61E-05
dc,2.88E-05
dd,0.000466323
de,0.005152432
df,4.99E-05
dg,0.000286395
dh,2.44E-05
di,0.003383937
dj,1.66E-05
dk,5.77E-06
dl,0.000342175
dm,8.10E-05
dn,7.78E-05
do,0.004859581
dp,1.93E-05
dq,4.08E-06
dr,0.001010941
ds,0.001136607
dt,2.25E-05
du,0.000632524
dv,0.00011628
dw,6.58E-05
dx,5.72E-08
dy,0.000819894
dz,2.12E-06
ea,0.008753556
eb,0.000360375
ec,0.003230338
ed,0.007654685
ee,0.005607192
ef,0.001188732
eg,0.000737061
eh,0.000248517
ei,0.001469987
ej,1.94E-05
ek,0.000349492
el,0.005672226
em,0.002723003
en,0.011345964
eo,0.001105118
ep,0.001154279
eq,0.000122564
er,0.01938201
es,0.009677198
et,0.00518763
eu,0.000239002
ev,0.002414271
ew,0.001171346
ex,0.001425266
ey,0.00325953
ez,6.02E-05
fa,0.001742908
fb,2.94E-06
fc,5.04E-06
fd,1.37E-06
fe,0.002037023
ff,0.00148468
fg,2.67E-05
fh,8.87E-07
fi,0.00290855
fj,5.52E-07
fk,6.12E-07
fl,0.000562031
fm,2.11E-06
fn,1.20E-06
fo,0.004797295
fp,3.13E-06
fq,2.81E-07
fr,0.001960411
fs,3.91E-05
ft,0.000745268
fu,0.001006654
fv,0
fw,1.11E-05
fx,9.95E-08
fy,5.72E-05
fz,1.05E-07
ga,0.001051011
gb,2.57E-05
gc,5.88E-06
gd,2.21E-05
ge,0.004217719
gf,8.14E-06
gg,0.000412498
gh,0.003389368
gi,0.001304517
gj,4.03E-08
gk,1.28E-06
gl,0.000599433
gm,2.19E-05
gn,0.000362997
go,0.004909657
gp,9.65E-06
gq,2.55E-07
gr,0.001595603
gs,0.000646825
gt,7.63E-05
gu,0.000723625
gv,5.36E-07
gw,1.39E-05
gx,8.97E-08
gy,0.000148074
gz,2.89E-07
ha,0.016189265
hb,3.77E-05
hc,9.87E-06
hd,3.73E-05
he,0.032997371
hf,8.93E-06
hg,2.01E-06
hh,5.28E-05
hi,0.009713727
hj,1.20E-07
hk,1.76E-06
hl,9.87E-05
hm,8.89E-05
hn,0.000199454
ho,0.005996588
hp,9.17E-06
hq,8.91E-06
hr,0.001003296
hs,0.000168148
ht,0.002064942
hu,0.000644157
hv,1.13E-06
hw,3.03E-05
hx,1.18E-08
hy,0.000547639
hz,1.92E-07
ia,0.00140595
ib,0.00055853
ic,0.00462287
id,0.002362822
ie,0.002740358
if,0.0021831
ig,0.003275656
ih,7.36E-06
ii,1.44E-05
ij,1.03E-05
ik,0.001381076
il,0.004690314
im,0.002855723
in,0.025700463
io,0.003498768
ip,0.000504568
iq,7.24E-05
ir,0.002898779
is,0.012384552
it,0.014619958
iu,8.06E-05
iv,0.002034143
iw,4.80E-06
ix,0.000201684
iy,1.42E-05
iz,0.000208491
ja,0.000350478
jb,4.72E-07
jc,4.67E-07
jd,7.69E-07
je,0.000278417
jf,5.04E-07
jg,9.24E-08
jh,3.08E-07
ji,5.92E-05
jj,3.71E-07
jk,9.53E-07
jl,1.31E-06
jm,3.90E-07
jn,3.87E-07
jo,0.000817558
jp,1.38E-06
jq,5.03E-09
jr,1.25E-06
js,1.37E-06
jt,2.27E-07
ju,0.001530918
jv,6.45E-08
jw,7.08E-08
jx,8.34E-09
jy,7.60E-08
jz,2.54E-08
ka,0.000194055
kb,3.05E-06
kc,2.30E-06
kd,7.79E-06
ke,0.004384876
kf,2.80E-05
kg,1.55E-05
kh,2.44E-05
ki,0.001995162
kj,6.49E-07
kk,1.66E-05
kl,0.000155467
km,7.82E-06
kn,0.001290513
ko,8.39E-05
kp,2.62E-05
kq,1.18E-08
kr,2.08E-05
ks,0.000709004
kt,1.44E-05
ku,2.49E-05
kv,3.92E-07
kw,2.30E-05
kx,5.04E-08
ky,0.000192227
kz,2.21E-08
la,0.00446457
lb,6.05E-05
lc,0.000144952
ld,0.003482592
le,0.008130213
lf,0.000525192
lg,2.91E-05
lh,1.00E-05
li,0.006412086
lj,5.87E-07
lk,0.000447904
ll,0.00909994
lm,0.000270063
ln,3.38E-05
lo,0.004924676
lp,0.000304727
lq,3.67E-06
lr,0.000110107
