bigram,subtlex_us.prob
aa,4.14E-06
ab,0.002285187
ac,0.003362926
ad,0.003067034
ae,0.000102101
af,0.00064835
ag,0.001496027
ah,0.001441222
ai,0.003199577
aj,6.75E-05
ak,0.002403122
al,0.008448402
am,0.002796795
an,0.018967693
ao,2.12E-05
ap,0.001542952
aq,4.89E-06
ar,0.009365192
as,0.007244661
at,0.010314407
au,0.001296311
av,0.003644983
aw,0.000815333
ax,0.000129967
ay,0.005228752
az,0.000216464
ba,0.002416142
bb,0.000134034
bc,4.34E-06
bd,9.45E-06
be,0.006872825
bf,3.75E-07
bg,1.72E-07
bh,1.16E-06
bi,0.001024799
bj,4.72E-05
bk,5.46E-08
bl,0.001657702
bm,9.29E-06
bn,4.95E-06
bo,0.003503186
bp,5.00E-06
bq,0
br,0.001162729
bs,0.000160492
bt,5.93E-05
bu,0.002755763
bv,3.59E-05
bw,5.46E-06
bx,2.34E-08
by,0.000926009
bz,1.72E-07
ca,0.005730001
cb,1.12E-06
cc,0.000265758
cd,5.98E-06
ce,0.003467037
cf,9.95E-07
cg,1.68E-07
ch,0.004195413
ci,0.001033827
cj,0
ck,0.003182849
cl,0.000960803
cm,1.37E-06
cn,5.30E-06
co,0.005991774
cp,7.61E-07
cq,1.20E-05
cr,0.001052725
cs,6.42E-05
ct,0.001846174
cu,0.000864951
cv,1.05E-07
cw,3.90E-08
cx,0
cy,0.000174875
cz,1.32E-06
da,0.002193711
db,5.95E-05
dc,1.69E-05
dd,0.000435535
de,0.004438179
df,2.42E-05
dg,0.000157768
dh,1.81E-05
di,0.003673439
dj,1.30E-05
dk,6.25E-06
dl,0.000256364
dm,0.000100481
dn,0.00108652
do,0.007533965
dp,2.03E-05
dq,6.71E-06
dr,0.001116311
ds,0.000929295
dt,1.05E-05
du,0.000434767
dv,7.02E-05
dw,4.85E-05
dx,0
dy,0.001243231
dz,1.48E-07
ea,0.009491822
eb,0.000277959
ec,0.002270591
ed,0.006811978
ee,0.005495494
ef,0.000952822
eg,0.000531711
eh,0.000192422
ei,0.000900608
ej,1.44E-05
ek,0.000224145
el,0.006376466
em,0.002435419
en,0.009858947
eo,0.0008318
ep,0.001193234
eq,8.82E-05
er,0.019152813
es,0.007951024
et,0.006573447
