string,blp.rt,blp.rt.zscore,blp.accuracy,blp.accuracy.zscore
aas,NA,NA,0.05,-2.50872877
aback,647,0.370296008,0.4,-1.266404181
abaft,1376,2.404425444,0.025,-2.597466241
abase,692.75,0.437372209,0.1,-2.331253829
abased,695.75,0.912017502,0.25,-1.798829005
abashed,709.1666667,0.585761184,0.657894737,-0.351007115
abate,741.25,0.67988916,0.578947368,-0.631230708
abates,723.4090909,0.653545473,0.578947368,-0.631230708
abb_,884.25,1.636592305,0.105263158,-2.312572256
abb_s,539,-0.251259359,0.026315789,-2.592795849
abbess,736,0.959041712,0.157894737,-2.125756528
abbey,596,-0.165468031,0.95,0.685820174
abbeys,630.4166667,0.030697721,0.9,0.508345232
abbot,728.72,0.706933129,0.675,-0.290292004
abbots,692.1875,0.460519804,0.526315789,-0.818046436
abduct,616.6216216,-0.180114253,1,0.863295115
abeam,809.1428571,0.924034496,0.2,-1.976303946
abed,641.5,0.834491247,0.05,-2.50872877
abet,854.6,1.353928316,0.131578947,-2.219164393
abhor,752.2857143,0.860840595,0.368421053,-1.378493616
abhorred,739.5,0.715450199,0.65,-0.379029474
abhors,736.1875,0.86149281,0.4,-1.266404181
abide,631.75,-0.036013274,0.9,0.508345232
abides,662.6764706,0.250537482,0.875,0.419607762
abject,716.8695652,0.827739883,0.625,-0.467766945
abjure,729,1.263993737,0.078947368,-2.405980121
abjured,679,0.622298938,0.105263158,-2.312572256
ablaze,710.6388889,0.335139126,0.973684211,0.769887253
able,558.5,-0.533632138,1,0.863295115
abler,930.5,2.476334786,0.078947368,-2.405980121
ablest,705,1.271423277,0.1,-2.331253829
ably,695.7142857,0.401530419,0.263157895,-1.752125072
abo,NA,NA,0,-2.686203711
aboard,608.7,-0.147830863,1,0.863295115
abode,675.6666667,0.162036461,0.789473684,0.116032203
abodes,736.8888889,0.435352832,0.763157895,0.022624341
abort,628.2777778,-0.179551018,0.947368421,0.676479387
aborts,622.7105263,0.02891368,0.975,0.774557644
abound,625.5428571,-0.019074438,0.9,0.508345232
abounds,673.2083333,0.138189212,0.631578947,-0.44441498
about,524.475,-0.74644786,1,0.863295115
above,504.9210526,-0.783489143,1,0.863295115
abrade,582.5,0.058018521,0.15,-2.153778887
abreast,681.4642857,0.548177433,0.7,-0.201554533
abridge,737.8928571,0.802053776,0.75,-0.024079592
abridged,802.1071429,0.916355325,0.736842105,-0.070783524
abroad,589.6578947,-0.37581945,0.975,0.774557644
abrupt,643.225,0.040686965,1,0.863295115
abscess,781.8636364,0.765294581,0.657894737,-0.351007115
abscond,794.52,0.693002685,0.65,-0.379029474
absconds,737.7368421,0.767924336,0.526315789,-0.818046436
absence,568.75,-0.431332975,1,0.863295115
absent,579.75,-0.363063007,0.973684211,0.769887253
absents,597.3666667,-0.199893819,0.842105263,0.302847931
absolve,605.3333333,-0.136613423,1,0.863295115
absolved,713.3714286,0.322366263,0.921052632,0.583071525
absolves,651.5142857,0.222396995,0.875,0.419607762
absorb,591.4102564,-0.30041415,1,0.863295115
absorbed,616.8648649,-0.171621043,1,0.863295115
absorbs,615.8684211,-0.277390218,1,0.863295115
abstain,627.6666667,-0.126808713,0.975,0.774557644
abstained,699.6410256,0.353507821,0.975,0.774557644
abstract,555.5,-0.576152995,1,0.863295115
abstracts,563.1,-0.39012567,1,0.863295115
abstruse,812.1666667,1.07555138,0.15,-2.153778887
absurd,609.5897436,-0.088778432,0.975,0.774557644
abuse,549.972973,-0.538572911,0.973684211,0.769887253
abused,557.3947368,-0.452788997,1,0.863295115
abyss,637.6428571,0.084256944,0.736842105,-0.070783524
accede,750.4444444,0.849913865,0.236842105,-1.845532938
accedes,703,0.731068065,0.2,-1.976303946
accent,547.1538462,-0.558434947,1,0.863295115
accents,599.8157895,-0.308658584,1,0.863295115
accept,524.972973,-0.742338846,0.973684211,0.769887253
accepts,533.3846154,-0.646818424,1,0.863295115
access,585.974359,-0.347693631,0.975,0.774557644
acclaim,647.1764706,0.13795865,0.921052632,0.583071525
acclaimed,623.2702703,-0.104280135,0.973684211,0.769887253
acclaims,615.6666667,-0.030241213,0.9,0.508345232
accord,570.2368421,-0.408858279,1,0.863295115
accords,591.7428571,-0.322236268,0.947368421,0.676479387
accost,671.7777778,0.301580384,0.710526316,-0.164191387
accosts,737,0.601339463,0.625,-0.467766945
account,518.525,-0.680025935,1,0.863295115
accounts,553.2,-0.550042207,1,0.863295115
accrete,852.9230769,1.121845537,0.35,-1.443879122
accretes,777.1111111,1.171160401,0.25,-1.798829005
accrue,769.5,0.934091283,0.421052632,-1.191677888
accrued,803.3913043,0.908762819,0.575,-0.645241886
accrues,766.3888889,0.983255012,0.473684211,-1.00486216
accuse,553.125,-0.46531886,1,0.863295115
accused,584.9166667,-0.313253486,0.973684211,0.769887253
ace,507.6944444,-0.804727131,0.947368421,0.676479387
aces,574.7714286,-0.3280041,0.947368421,0.676479387
ache,524.3157895,-0.689843148,1,0.863295115
ached,652.65625,0.054360415,0.825,0.24213282
