string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
a,7.38,determiner
a&e,3.82,name
a&m,2.37,name
a&p,1.39,name
a&r,2.31,name
a&s,1.47,name
a'ight,1.77,name
a'levels,1.17,noun
a'right,1.7,name
a-ha,3.86,noun
a-half,2.91,adjective
a-hem,2.98,noun
a-level,3.38,adjective
a-levels,3.3,noun
a-list,2.92,adjective
a-team,2.95,noun
a.a.,1.3,name
a.d.,1.6,name
a.e.,1.17,name
a.j.,1.39,name
a.k.a.,1.3,name
a.m.,1.97,noun
a00,1.3,number
a1,3.2,name
a10,2.24,name
a11,2.3,name
a113,1.39,name
a12,2.39,name
a120,1.65,name
a127,1.47,name
a13,1.84,name
a130,1.54,name
a14,2.48,name
a140,1.17,name
a143,1.17,number
a15,1.39,name
a16,1.39,name
a160,1.17,name
a17,1.39,name
a171,1.3,name
a178,1.17,noun
a18,1.95,name
a180,1.3,name
a19,2.14,name
a1a,1.3,name
a1m,1.54,name
a2,2.44,name
a20,1.87,name
a21,1.77,name
a23,1.97,name
a24,1.39,name
a25,1.3,name
a259,1.3,name
a26,1.39,name
a262,1.84,name
a27,2.36,name
a272,1.3,name
a273,1.17,name
a29,1.17,name
a2s,1.3,noun
a3,2.74,name
a30,2.2,name
a303,2.56,name
a31,1.7,name
a320,1.6,name
a330,1.54,name
a34,1.97,name
a35,1.84,name
a350,1.87,name
a36,1.54,name
a37,1.17,name
a38,2.2,name
a380,2.65,name
a380s,1.93,noun
a39,1.54,name
a3m,1.47,name
a4,2.84,name
a40,2.3,name
a400,1.6,name
a400m,1.93,name
a4042,1.17,name
a406,1.54,name
a41,1.77,name
a417,1.17,name
a4260,1.17,name
a429,1.17,name
a43,1.17,name
a435,1.17,name
a44,1.39,name
a449,1.17,name
a45,1.84,name
a452,1.17,name
a453,1.81,name
a456,1.17,name
a46,1.84,name
a465,1.54,name
a47,1.6,name
a470,2.06,name
a48,1.95,name
a487,1.17,name
a49,1.3,name
a4e,2.73,name
a5,2.73,noun
a50,1.47,name
a500,1.17,number
a51,1.3,name
a52,1.74,name
a530,1.3,name
a542,1.17,name
a55,2.14,name
a57,1.74,name
a59,1.77,name
a591,1.39,name
a6,2.39,name
a60,1.47,name
a61,1.17,name
a614,1.54,name
a628,1.39,name
a63,1.9,name
a64,1.54,name
a65,1.54,name
a66,1.87,name
a68,1.7,name
a688,1.17,name
a69,1.17,name
a7,1.47,name
a75,1.3,name
a8,1.95,name
a80,1.74,name
a8011,1.17,name
a82,1.54,name
a821,1.17,number
a83,1.47,name
a830,1.39,name
a9,2.41,name
a90,2.09,name
a92,1.3,name
aa,3.83,name
aaa,3.25,noun
aaaa,2.7,noun
aaaaa,2.16,name
aaaaaa,1.81,name
aaaaaaa,1.6,name
aaaaaaaa,1.17,noun
aaaaaaaaaa,1.3,name
aaaaaaaaaaaaaaaaa,1.17,noun
aaaaaaaaaaaaah,1.17,noun
aaaaaaaaaaaaargh,1.17,name
aaaaaaaaaaaah,1.54,noun
aaaaaaaaaaaargh,1.17,name
aaaaaaaaaaah,1.17,noun
aaaaaaaaaaargh,1.3,name
aaaaaaaaaaarrrrgh,1.17,noun
aaaaaaaaaagh,1.17,name
aaaaaaaaaah,1.3,name
aaaaaaaaaargh,1.17,name
aaaaaaaaagh,1.65,name
aaaaaaaaah,1.65,noun
aaaaaaaaargh,1.54,name
aaaaaaaagh,1.7,name
aaaaaaaah,2.08,noun
aaaaaaaahhhh,1.3,name
aaaaaaaahhhhh,1.17,name
aaaaaaaargh,1.54,name
aaaaaaaarrrrgh,1.17,name
aaaaaaagh,1.95,name
aaaaaaah,2.33,noun
aaaaaaargh,1.9,name
aaaaaagh,2.25,name
aaaaaaghhh,1.3,name
aaaaaah,2.68,noun
aaaaaahhh,1.3,name
aaaaaahhhh,1.39,name
aaaaaahhhhh,1.17,name
aaaaaahhhhhh,1.47,name
aaaaaargh,2.35,name
aaaaaarrgh,1.17,name
aaaaaarrrgh,1.17,name
aaaaaarrrrrgh,1.39,name
aaaaagh,2.67,name
aaaaaghhh,1.17,name
aaaaah,3.06,noun
aaaaahh,1.65,name
aaaaahhh,1.77,name
aaaaahhhh,1.7,name
aaaaahhhhhh,1.17,name
aaaaand,1.17,name
aaaaar,1.17,name
aaaaargh,2.76,name
aaaaarrrgh,1.17,name
