string,subtlex_us.fpmw,subtlex_us.cd
the,29449.18,100
to,22677.84,99.94
a,20415.27,99.93
you,41857.12,99.92
and,13387.84,99.89
it,18896.31,99.87
s,20731.39,99.87
of,11577.24,99.85
for,6895.1,99.83
i,39971.16,99.81
in,9773.41,99.81
on,6955.73,99.81
is,9013,99.79
that,14111.31,99.76
what,9842.45,99.73
be,5746.76,99.7
have,6161.41,99.7
are,5209.25,99.69
this,7978.73,99.67
no,5971.55,99.65
we,9011.9,99.65
me,9241.94,99.61
t,14379.18,99.61
there,4348.12,99.61
can,5247.45,99.58
here,4525.25,99.57
with,5048.33,99.56
but,4417.47,99.55
he,7637.2,99.55
now,3202.61,99.55
so,4244.16,99.55
my,6762.73,99.54
not,5424.96,99.54
do,6135.59,99.52
your,6445.39,99.51
at,3217.1,99.5
one,3072.24,99.5
up,3670,99.49
was,5654.73,99.49
go,3793.04,99.46
out,3865.31,99.46
how,3056.22,99.44
like,3998.96,99.44
if,3541.37,99.43
know,5721.18,99.43
just,4749.14,99.4
get,4583.76,99.38
come,3140.98,99.37
they,4102.94,99.33
don,6295.78,99.26
see,2556.73,99.26
about,3631.49,99.2
right,4008.39,99.19
who,2222.94,99.17
good,2610.14,99.14
when,2034.1,99.09
time,1958.63,99.05
let,2419.24,99.03
did,2341.37,99.02
from,2039.06,99.02
want,2759.18,99.01
think,2691.39,98.96
take,1891.04,98.94
why,2248.76,98.94
m,6730.29,98.84
look,1947.27,98.83
an,1864.14,98.77
all,5161.86,98.7
back,2009.16,98.63
some,1727.24,98.58
re,6099.45,98.57
would,1767.88,98.57
been,1736.73,98.49
where,1830.22,98.47
then,1489.53,98.41
him,3484.51,98.4
got,3306.49,98.34
as,2217.02,98.22
or,1705.29,98.22
going,2123.29,98.21
were,1662.82,98.2
could,1629.59,98.15
say,1639.78,98.13
something,1500.16,98.13
had,1675.92,98.04
way,1424.73,98.02
make,1387.75,97.94
by,1340.47,97.79
too,1371.57,97.76
us,1695.65,97.75
his,2124.78,97.59
ll,4394.06,97.52
more,1298.59,97.48
over,1323.29,97.41
didn,1580.84,97.32
them,1778.82,97.31
down,1490.27,97.29
never,1362.55,97.26
well,2990.65,97.11
yes,1996.76,97.04
d,1986.96,97.02
should,1061.94,96.91
will,2123.65,96.91
she,3732.88,96.88
tell,1724.49,96.82
only,1083.71,96.78
our,1400.49,96.72
give,1167.82,96.42
her,2835.82,96.28
need,1294.9,96.28
has,1133.92,96.26
little,1446.39,96.23
off,1179.51,96.07
thing,1088.67,96.07
man,1845.75,96.02
any,1099.37,95.96
mean,1243.98,95.76
much,973.25,95.7
said,1108.45,95.68
oh,3289.82,95.6
sure,1099.82,95.46
am,1106.63,95.17
two,1066.35,94.97
really,1500.16,94.85
doing,1029.25,94.83
even,875.92,94.55
anything,907.25,94.53
sorry,1167.96,94.46
before,794.14,94.35
because,1071.02,94.3
people,1102.98,94.05
into,844.59,93.9
very,1241.25,93.74
first,840.57,93.72
again,792.71,93.61
nothing,853.61,93.6
these,904,93.59
put,828.45,93.47
please,1100.96,93.43
thought,808.47,93.34
better,794,93.16
still,788.73,93.12
thank,1115.24,92.87
yeah,2985.53,92.87
than,738.8,92.63
help,921.12,92.33
other,735.39,92.25
maybe,926.45,92.24
last,723.1,92.17
day,801.82,92.12
those,753.02,91.94
wait,830.25,91.91
find,830.96,91.64
work,798.02,91.44
does,666.71,91.38
after,682.59,91.14
talk,855,90.83
life,796.65,90.56
long,675.16,90.38
away,730.9,90.37
keep,702.86,90.24
around,736.73,90.16
call,861.39,90.08
doesn,635.98,90
won,759.39,89.93
hey,1727.04,89.89
told,699.59,89.76
ever,709.22,89.57
always,655.25,89.35
things,692.88,89.26
great,820.86,88.96
home,774.33,88.84
made,561.29,88.72
stop,707.27,88.47
believe,625.14,88.36
night,866.04,87.99
love,1114.98,87.95
everything,654.88,87.84
another,509.22,87.35
kind,590.69,87.23
isn,586,87.06
place,602.67,86.78
feel,627.24,86.61
hear,555.35,86.42
wrong,523.1,86.37
new,723.78,86.29
big,682.82,86.24
bad,545.18,86
every,549.16,85.94
through,549.53,85.88
their,655.16,85.72
leave,560.71,85.66
lot,569.92,85.66
coming,527.02,85.52
enough,501.33,85.35
must,699.24,85.29
thanks,623.31,85.23
fine,598.08,85.06
might,516.35,84.9
getting,484.69,84.88
remember,542.47,84.76
nice,649.51,84.57
being,485.9,84.44
try,476.75,84.08
wanted,502.27,83.92
name,641.86,83.82
done,485.04,83.75
else,449.16,83.75
gonna,1996.16,83.7
ask,483.14,83.62
left,484.45,83.46
next,452.75,83.46
wouldn,463.29,83.24
listen,544.78,83.04
years,568.69,82.93
happened,490.08,82.88
talking,497.75,82.88
care,485.25,82.8
god,903.16,82.74
own,459.2,82.7
three,542.24,82.65
old,608.94,82.37
came,463.73,82.13
mind,484.61,81.9
looking,432.67,81.56
trying,448.02,81.56
stay,515.65,81.47
understand,482.45,81.2
yourself,434.33,81.09
someone,446.12,80.46
wasn,431.06,80.44
same,417.18,80.42
guess,453.98,79.8
went,411.51,79.6
best,404.37,79.55
may,511.37,79.48
course,487.22,79.47
which,477.24,79.32
show,488.35,79.04
guy,762.61,78.61
today,433.8,78.33
while,349.43,78.03
seen,384.96,77.98
heard,387.75,77.85
without,354.65,77.63
hold,436.73,76.97
real,442.8,76.93
use,343.84,76.93
together,383.39,76.9
whole,385.49,76.68
haven,369.49,76.55
saw,402.49,76.53
hello,585.43,76.36
once,344.88,76.36
took,342.24,76.35
yet,341.73,76.34
ready,387.8,76.28
found,396,76.11
idea,359.04,75.81
