string,cp.IMAG,cp.FAM
a,1.44,7
abandon,3.69,5.5
abasement,2.03,2.47
abbess,2.97,1.96
abdication,3.57,3.35
abdomen,6,4.75
abduction,4.93,4.32
aberration,2.27,2.48
ability,2.67,6.26
able,2.25,6.36
abode,5.07,3.68
abominable,3.59,3.98
about,1.38,6.65
above,3.06,6.47
abrupt,3.16,5.35
absolute,2.06,5.35
abstraction,0,4.08
abstruse,1.5,1.76
abuse,0,4.9
abused,3.56,5.36
abyss,5.17,3.47
acceptable,2.31,5.61
accord,0,3.94
accordion,6.5,4.19
accurate,2.53,6.06
accused,2.94,5.25
acknowledge,2.38,5.36
acorn,0,4.37
acquired,2.13,5.33
acrobat,6.53,4.22
active,4.22,5.92
actual,1.94,6.29
adage,2.77,2
adam,4.88,4.12
additional,2.5,5.29
adequate,2.06,5.25
admiral,6.2,4.88
advanced,2.72,5.63
advantage,2.37,6.02
adversity,2.8,4
advice,3.13,5.89
affable,2.66,3.06
affair,3.25,5.71
affection,4.87,5.64
affectionate,4.66,5.47
affirm,2.22,4.84
afraid,4.44,6.4
africa,0,5
afterlife,2.4,4.3
against,2.28,6.4
aggressive,3.97,5.4
agile,3.88,4.33
agility,4.57,4.37
agony,5.43,5.6
agreement,3.33,5.81
ah,2.84,6.21
air,4.17,6.77
alcohol,6.47,6.43
alert,4.03,5.55
algebra,5.17,5.23
alimony,4.47,4.55
alive,4.09,6.33
allege,2.22,3.19
allegory,2.13,3.43
alligator,6.87,4.26
allophone,0,1.14
alone,4.91,6.02
altered,2.28,5.04
alternative,2.06,5.58
although,1.31,6.53
always,1.88,6.81
am,1.84,6.73
amazement,4.47,5.35
ambassador,5.7,5.12
ambitious,3.81,5.8
ambulance,6.67,5.39
ambush,0,4.76
amendment,0,4.13
amount,2.73,6.31
amour,5.5,4.02
amplifier,5.8,5.14
an,1.25,6.82
analytic,2.5,4.45
ancient,4.41,4.69
and,1.31,7
anecdote,3.77,4.61
angel,5.5,5.18
anger,4.87,5.77
angle,5.5,5.52
angry,4.94,6.4
animal,6.1,6.67
animosity,3.6,3.64
ankle,6.77,5.64
annoying,3.56,5.6
annual,2.97,5.04
answer,2.77,6.61
answered,2.34,5.71
ant,0,5.21
antitoxin,3.6,2.54
anvil,0,3.42
anxiety,4.03,5.88
anxious,3.44,5.84
anyone,2.31,6.45
apparent,2.03,5.71
appear,3.22,5.83
appearance,4.07,6.18
appendix,0,5.33
apple,6.73,6.43
appliance,5.73,5.33
appreciate,2.47,5.92
apron,5.88,5.56
aptitude,2.6,5.45
arbiter,2.33,2.38
arbitrary,2.16,4.67
arbor,3.19,3.15
ardent,3.07,4.04
ardor,3.06,2.69
argue,3.91,6.04
arise,3.16,4.49
arm,6.53,6.55
armadillo,3.77,2.21
armor,4.88,3.43
army,6.53,6.2
aromatic,4.31,3.47
aroused,3.44,5.35
array,3.3,4.23
arrogant,3.78,4.47
arrow,6.57,5.3
artist,5.93,5.87
artistic,4.28,5.08
as,1.25,6.53
assault,4.8,5.1
assemblage,0,3.26
assumption,1.91,5.61
asymptote,0,3.21
at,1.38,6.79
athletics,5.7,5.88
atmosphere,4.23,5.87
atrocity,3.67,4.1
attempted,2.28,6.15
attendant,5.03,5.34
attended,2.59,5.41
attending,2.84,5.75
attentive,3.13,5.19
attitude,2.77,5.89
attribute,2.4,4.61
author,4.53,5.79
authoritative,3.19,4.83
automobile,6.87,6.04
available,2.28,6.06
avalanche,6.27,4.39
avenue,6.07,6.11
average,2.43,6.19
avid,3.25,3.94
await,2.38,4.96
aware,2.44,5.86
awkward,3.44,5.26
baby,6.7,6.47
back,4.16,6.35
background,4.03,5.73
bacteria,5.33,4.78
bad,3.19,6.65
bagpipe,6.43,4
bake,4.97,5.89
balloon,6.13,5.73
banality,2.03,2.21
bandit,5.83,4.28
banker,6.03,5.8
banned,2.84,5.4
banner,5.93,4.21
bar,6.4,6.22
bard,4.9,2.45
barnacle,4.5,3.17
baron,5.1,3.7
barrel,6.57,5
basement,6.03,5.81
bashful,3.75,4.75
basic,2.09,5.73
basilisk,0,1.19
basin,4.97,4.9
basket,0,5.02
bath,5.75,6.53
be,1.91,6.87
bear,6.03,5.58
beast,5.9,5.06
beautiful,5.38,6.53
beaver,6.5,4.51
because,1.44,6.73
become,1.94,6.43
bed,6.63,6.84
before,1.66,6.57
began,1.84,6.33
beggar,6.4,4.69
