string,gn.AROU,gn.VAL,gn.DOM,gn.CNC,gn.IMAG,gn.FAM,gn.AOA,gn.SIZE,gn.GEND
abattoir,4.3333,2.7619,4.3333,5.6667,4.4545,2.3824,6.76,4.6522,5.4545
abbey,3.2857,5.7097,4.6333,5.9032,5.3,3.2121,5.1765,5.1212,3.2813
abbreviate,3.2258,5.2727,5.2353,3.2857,3.1765,4.9333,5.5429,2.6667,3.9333
abdicate,4.3,3.7667,4.25,3.3448,2.5161,3.7879,6.2759,4.6786,5.1667
abdication,3.8462,3.88,4.8,3.2917,2.5714,3.0968,6.4074,5.1304,4.6154
abdomen,4.7059,5.4857,5.2727,6.6061,6.2353,4.5625,5.4571,3.4857,4.6176
abdominal,3.875,5.2121,4.6667,5.7353,5.0303,4.8065,5.7059,3.7879,4.2424
abduct,4.8,2.1765,3.0645,4.5455,4.2647,4.3636,5.0313,4.4516,5
abducted,5.3438,1.9688,2.871,4.8125,4.2121,5.3,5.2903,5.1613,4.5625
abduction,5.3235,1.6176,2.8857,4.9118,4.7941,4.3636,5.1143,5.0588,4.6857
aberration,5,3.2,4.8462,3.2174,2.7083,2.4848,6.4138,4.875,4.32
abide,3.875,5.3871,4.3103,2.4848,2.3636,4.2903,5.697,4.0333,4.0606
ability,5.4706,6.9118,6.9706,2.9412,2.5152,6,4.0606,5.0294,4.2059
able,4.8529,7.1143,7.0303,3.1818,3.0571,6.1818,3.5882,4.4,3.6471
abode,3.8966,5.7333,5.8276,4.4643,4.4516,3.1875,6.2,4.0741,3.5667
abortion,3.9143,2.5882,5.4412,5.4118,4.303,4.871,6.1176,4.9394,2.6176
abroad,6.625,6.7429,5.1212,4.5588,4.4857,6,3.8571,5.5455,3.8788
abrupt,4.9091,3.6364,4.4848,2.8529,2.7059,5.2353,5.3714,4.5152,4.6
absorb,4.4839,5.4375,5.1613,3.1875,3.6774,4.9655,4.7097,3.7097,3.7692
abstract,4.7429,5.2941,4.7941,1.7143,2.1714,4.697,5.9118,4.3235,3.7647
absurd,5.4138,3.5625,4.7188,2.0645,2.2333,4.6296,5.2581,4.5333,4.1071
absurdly,4.5152,3.3939,4.697,2.5152,2.4688,4.25,5.4545,4.7273,4
abundance,4.7143,6.5758,6.2,3.2286,3.9714,4.5588,6.1143,6.1429,3.5882
abundant,5.2353,7,6.0938,3,2.8529,4.9286,6.1429,5.871,3.8824
abuse,4.8788,1.5625,2.5,3.4194,3.9091,5.2,5.1765,4.7429,5.0606
abuser,5.0588,1.3939,3.7429,4.6667,5.0286,4.4412,5.6571,5.4706,5.5714
abyss,6.2258,3.1875,3.4333,3.1765,4.2353,3.2424,6.1563,6.2424,4.3438
academic,5.6774,7.3871,5.7879,3.9375,4.1667,6.1724,4.9394,5.5,4.303
accelerate,6.7188,6.4242,6.8485,4.5,4.5484,6.0323,5.1515,4.9375,4.8824
accent,5.5455,5.6286,5.1818,3.6,3.6176,5.8387,4.0588,4.0303,3.8529
accept,5.1818,6.6875,5.9688,3.1935,2.9032,6.1071,4.2353,4.4,3.25
acceptance,4.8788,7.5,5.9429,2.7941,2.5152,5.4063,4.8,5.3824,3.1471
access,4.2188,6.3529,5.7941,3.4545,3.25,5.4688,4.5152,3.8788,3.9412
accident,5.4,2.7273,3.0294,4.3429,4.9429,6.1429,2.8824,4.9714,4.1212
accidental,4.3824,3.9412,4.1818,2.9412,3.1765,5.8276,3.3235,4.0294,3.9394
accordion,4.0938,5.7273,5.4839,6.5,6.4375,3.7879,4.2647,3.5294,4.1563
accountant,2.9655,4.4333,4.3448,5.8,5.1667,4.6552,5.3125,3.9643,4.9643
accuse,5.7419,2.7419,4.7742,2.3438,2.4516,4.8889,4.6129,4.9667,4.1111
accused,4.8485,2.5455,2.7813,3.0882,3.3824,5,4.6176,4.3636,4.6774
ace,5.6667,7.3333,6.129,3.1935,3.697,4.2963,3.9394,4.2813,4.4615
ache,5.1667,2.7879,3.3125,3.5625,2.8,6,3.7813,3.6207,3.9355
aches,4.125,2.871,2.8125,3.8125,3.2188,5.5926,4,3.9655,3.8519
achieve,6.4242,7.8387,7.1563,2.8788,2.6774,5.6667,4.5313,5.2759,3.9615
achieved,6.1765,8.0588,7.4412,2.5,3.0882,5.9355,4.5294,5.3429,3.9394
achievement,6.5,7.9375,7.4516,2.9063,3.875,6.2,4.4545,5.7097,3.9355
acorn,4.3438,5.7667,5.5,6.6923,6.5,4.4667,3.0625,1.875,3.68
acquire,4.3226,6.2571,6.1563,3.0588,2.5294,5.1212,5.8286,4,4.1613
acrobat,5.3125,6.0313,5.1333,5.875,6,4.3,4.1765,3.6176,3.5313
activate,5.4194,6.6129,6.2941,3.6765,3.0625,5.4194,4.625,4.3,4.1613
active,6.5313,7,6.5806,3.6774,4.75,6.4483,3.5806,4.7742,4.2
activity,6.0857,6.6286,6.2857,3.9688,4.6667,5.6207,3.4,4.4286,4.0313
actor,5.5152,6.2813,5.6667,5.7,6,5.9231,3.4118,4.4688,5.75
actress,5.6129,5.8438,5.125,6.0313,6.5625,5.6364,3.4118,4.1471,1.303
actual,4.1212,5.5588,5.2353,3.1176,2.6176,6.2188,3.9394,4.2059,4.1176
actually,4.3939,5.5588,5.1765,2.697,2.2,6.2353,3.8235,4.0303,3.0882
acute,4.2353,4.9394,4.9118,3.2353,2.697,4.1818,5.7273,2.6364,3.6061
adage,3.1176,5.2222,5.2222,3.5882,2.2353,2.0882,6.0952,3.5333,4.0588
adapt,4.1613,6.1176,5.7647,3.1176,3.0286,5.3235,4.7429,4.2059,3.8182
add,4,5.6471,5.6364,4.2059,3.9429,6.2424,2.3529,3.7143,4.1176
addict,4.8571,2.1714,3.0857,4.4,5,5.2727,5.4,4.7714,4.8857
addicted,6.0938,2.4242,2.2813,3.4063,3.1212,5.6,4.9688,5.4839,5
addition,3.4,5.4571,5.6286,3.6765,3.3714,5.3636,3.3714,4.3143,3.7879
address,3.2727,5.3939,5.3636,5.0588,4.3429,5.7778,3.3714,3.9118,4
adequate,3.8571,5.3333,4.7647,2.5,2.7879,5.2258,5.5714,3.7813,4.0556
